iter	Passed	Remaining
0	2	285
1	7	367
2	11	382
3	15	378
4	20	386
5	25	397
6	29	398
7	35	402
8	38	390
9	42	383
10	48	389
11	51	375
12	54	365
13	57	355
14	61	347
15	65	344
16	70	342
17	73	335
18	76	326
19	80	323
20	83	315
21	88	313
22	92	310
23	97	308
24	101	304
25	106	303
26	110	299
27	117	303
28	123	301
29	130	305
30	135	301
31	139	297
32	146	296
33	151	294
34	155	289
35	159	284
36	165	281
37	170	278
38	179	281
39	192	288
40	205	295
41	207	286
42	210	278
43	212	270
44	219	268
45	222	261
46	225	254
47	228	247
48	230	240
49	232	232
50	235	226
51	252	233
52	262	232
53	264	225
54	269	220
55	276	217
56	281	212
57	284	206
58	289	200
59	293	195
60	298	190
61	302	185
62	308	181
63	313	176
64	319	171
65	323	166
66	329	162
67	333	156
68	338	151
69	341	146
70	344	140
71	348	135
72	353	130
73	357	125
74	363	121
75	369	116
76	377	112
77	384	108
78	389	103
79	393	98
80	396	93
81	401	88
82	407	83
83	417	79
84	422	74
85	426	69
86	429	64
87	434	59
88	438	54
89	442	49
90	446	44
91	450	39
92	454	34
93	458	29
94	463	24
95	469	19
96	474	14
97	478	9
98	481	4
99	486	0
